district,destination,missing
(unknown),A One Hotel,restaurant (nearest 68 km)
(unknown),Ashoka Hotel,restaurant (nearest 54 km)
(unknown),Bhijam 2005 m,hospital (nearest 61 km); bank (nearest 56 km)
(unknown),Bihi Phedi 2010 m,hospital (nearest 60 km); police (nearest 50 km); bank (nearest 56 km)
(unknown),Bishal Hotel,restaurant (nearest 62 km)
(unknown),Bur 2073 m + passerelle,hospital (nearest 60 km); bank (nearest 55 km)
(unknown),Cascade,hospital (nearest 59 km); bank (nearest 55 km)
(unknown),Chorten,hospital (nearest 58 km); bank (nearest 54 km)
(unknown),Chorten,hospital (nearest 55 km); bank (nearest 52 km)
(unknown),Dharamsala,hotel (nearest 50 km); restaurant (nearest 58 km)
(unknown),Départ sentier,hospital (nearest 61 km); bank (nearest 56 km)
(unknown),Gampul 1550 m,hospital (nearest 53 km); bank (nearest 53 km)
(unknown),Gap 2100 m,hospital (nearest 59 km); bank (nearest 55 km)
(unknown),Gap 2105 m,hospital (nearest 59 km); bank (nearest 55 km)
(unknown),Gap 2125 m,hospital (nearest 58 km); bank (nearest 55 km)
(unknown),Gap 2125 m,hospital (nearest 58 km); bank (nearest 54 km)
(unknown),Gapshya 2150 m,hospital (nearest 57 km); bank (nearest 54 km)
(unknown),Gate,hospital (nearest 50 km)
(unknown),"Himalaya Hotel, Restaurant and Bar",hospital (nearest 51 km); police (nearest 50 km)
(unknown),Hotel Manasovar Restaurant and Bar,hospital (nearest 51 km); police (nearest 50 km)
(unknown),Hotel Snow Lion,hospital (nearest 51 km); police (nearest 50 km)
(unknown),Hotel Sunrise,restaurant (nearest 55 km)
(unknown),Jama Masjid,hotel (nearest 51 km); restaurant (nearest 58 km)
(unknown),Jwai Jethan Hotel,restaurant (nearest 54 km)
(unknown),Kaanchenjunga white house,hospital (nearest 52 km); police (nearest 52 km); bank (nearest 53 km)
(unknown),"Kailash Mansarovar Viewpoint, Lapche La",hospital (nearest 53 km); police (nearest 85 km)
(unknown),Kanchenjunga Iceland,hospital (nearest 61 km); police (nearest 61 km); bank (nearest 61 km)
(unknown),Khadka Hotel,restaurant (nearest 50 km)
(unknown),Lapche La,hospital (nearest 53 km); police (nearest 85 km)
(unknown),Lunga Chhyuda 2375 m,hospital (nearest 55 km); bank (nearest 52 km)
(unknown),Lunga chhyuda mit Sauna,hospital (nearest 55 km); bank (nearest 52 km)
(unknown),Mani - Mur à prière,hospital (nearest 56 km); bank (nearest 53 km)
(unknown),New Chandrapur Hotel,restaurant (nearest 54 km)
(unknown),Pandrung 2080 m,hospital (nearest 61 km); bank (nearest 56 km)
(unknown),Porte,hospital (nearest 59 km); bank (nearest 55 km)
(unknown),Royal Palace,hospital (nearest 50 km); bank (nearest 50 km)
(unknown),Sambhunath hotel,restaurant (nearest 59 km)
(unknown),Sange Hotel and Lodge,hospital (nearest 51 km); police (nearest 50 km)
(unknown),Shangrila Home,hospital (nearest 58 km); bank (nearest 55 km)
(unknown),Shepherds Camp,hospital (nearest 55 km); bank (nearest 51 km)
(unknown),Shepherds Seasonal Camp,hospital (nearest 53 km)
(unknown),Shepherds Seasonal Camp,hospital (nearest 52 km)
(unknown),Shepherds seasonal Camp,hospital (nearest 56 km)
(unknown),Shrestha Hotel,restaurant (nearest 54 km)
(unknown),Suksum,hospital (nearest 54 km); bank (nearest 52 km)
(unknown),Suksum 2265 m + sentier,hospital (nearest 54 km); bank (nearest 52 km)
(unknown),Sumitra Party Palace,hotel (nearest 60 km); restaurant (nearest 60 km)
(unknown),Viewpoint,hospital (nearest 60 km); bank (nearest 55 km)
(unknown),Village Heritage,restaurant (nearest 63 km)
(unknown),Waiba Lama Hotel,restaurant (nearest 52 km)
(unknown),Wongrung Khola 2100 m,hospital (nearest 60 km); police (nearest 50 km); bank (nearest 56 km)
(unknown),kanchenjunga iceland guesthouse,hospital (nearest 61 km); police (nearest 61 km); bank (nearest 61 km)
(unknown),kripal Hotel,restaurant (nearest 50 km)
(unknown),mukteshwor dharmasala(धर्मशाला),hotel (nearest 54 km)
Baitadi,Chamlek,restaurant (nearest 62 km)
Baitadi,Patan Bazaar,restaurant (nearest 50 km)
Baitadi,Sharmali Guest House,restaurant (nearest 71 km)
Bara,Gauri Baba's Home,restaurant (nearest 50 km)
Bara,Simraungadh,hotel (nearest 61 km); restaurant (nearest 79 km)
Darchula,Api Nampa Conservation Area,restaurant (nearest 52 km)
Darchula,Hotel ApiNampa,restaurant (nearest 65 km)
Darchula,"Lali, Lekam",restaurant (nearest 76 km)
Darchula,Lipulekh Pass,hospital (nearest 63 km); police (nearest 63 km); bank (nearest 53 km)
Darchula,Mahakali River,restaurant (nearest 50 km)
Darchula,Malikarjun Temple,restaurant (nearest 68 km)
Darchula,Surkhot Tatopani (Darchula),restaurant (nearest 70 km)
Dhankuta,Mulghat,restaurant (nearest 51 km)
Dolpa,Dolpo Saldang Labrang,hospital (nearest 53 km); bank (nearest 50 km)
Dolpa,Saldang,hospital (nearest 53 km); bank (nearest 50 km)
Dolpa,chhetemarkep base camp,hospital (nearest 55 km)
Doti,Khaptad Eco-Trail,restaurant (nearest 74 km)
Doti,Khaptad Mixed Forests,restaurant (nearest 74 km)
Doti,Khaptad National Park,restaurant (nearest 74 km)
Gorkha,Nyak or Pewa,hospital (nearest 54 km); bank (nearest 53 km)
Gorkha,Tsum Valley Community Lodges,hospital (nearest 51 km)
Gorkha,Tsum Valley or Larke Pass,hospital (nearest 53 km); bank (nearest 53 km)
Gulmi,Himalaya ViewPoint Arkhaban Hill,restaurant (nearest 55 km)
Gulmi,Hotel Arkhaban,restaurant (nearest 55 km)
Gulmi,Simaltari,restaurant (nearest 50 km)
Humla,Filos hotel and general store,restaurant (nearest 51 km)
Humla,Homestay Yalbang,police (nearest 51 km)
Humla,"Kailash Mansarowar darshan viewpoint, Lapcha",hospital (nearest 53 km); police (nearest 84 km)
Humla,Kermi Camp Side,police (nearest 54 km)
Humla,Khang Jong Limi Hotel,hospital (nearest 51 km); police (nearest 50 km)
Humla,"Limi Resort, Tokche, Tumling",police (nearest 72 km)
Humla,Limi River,police (nearest 52 km)
Humla,Salli Lodge and Restaurant,police (nearest 51 km)
Jajarkot,Pachal Waterfall,restaurant (nearest 52 km)
Jhapa,केचना,hotel (nearest 55 km); restaurant (nearest 61 km)
Jumla,Chandannath Temple,restaurant (nearest 57 km)
Jumla,Ghurchi Lagna,restaurant (nearest 62 km)
Jumla,Hotel Kanjirowa Pvt Ltd,restaurant (nearest 58 km)
Jumla,Hotel Pauwa Ltd,restaurant (nearest 58 km)
Jumla,Hotel Royal Garden,restaurant (nearest 58 km)
Jumla,Jumla Bazaar,restaurant (nearest 57 km)
Jumla,Jumli Wool & Carpet (Jumla),restaurant (nearest 57 km)
Jumla,Manisangu,restaurant (nearest 50 km)
Jumla,Picnic Site,restaurant (nearest 57 km)
Jumla,Picnic Site,restaurant (nearest 56 km)
Jumla,Picnic Site,restaurant (nearest 56 km)
Jumla,Picnic Site,restaurant (nearest 53 km)
Jumla,Rawat Hotel,restaurant (nearest 58 km)
Jumla,"Stay valley view hotel, Jumla",restaurant (nearest 57 km)
Kanchanpur,Brahmdev Museum,restaurant (nearest 60 km)
Kanchanpur,Diamond hotel,restaurant (nearest 51 km)
Kanchanpur,Dodhara Chandani,restaurant (nearest 54 km)
Kanchanpur,Hotel Swastik,restaurant (nearest 50 km)
Khotang,Barahapokhari,restaurant (nearest 54 km)
Mugu,Bhandari Hotel,restaurant (nearest 67 km)
Mugu,Chhaynath,restaurant (nearest 66 km)
Mugu,Danfe Guest House,restaurant (nearest 63 km)
Mugu,Khatyad Khola,restaurant (nearest 52 km)
Mugu,Krishnasar Conservation Area,restaurant (nearest 69 km)
Mugu,Mount Kailash,restaurant (nearest 66 km)
Mugu,Murkot,restaurant (nearest 51 km)
Mugu,Ranakot Viewpoint,restaurant (nearest 51 km)
Mugu,Rara Cultural Resort,restaurant (nearest 60 km)
Mugu,Rara Lake,restaurant (nearest 63 km)
