Place,Latitude,Longitude,District,accidents,landslide,avalanche,flood,earthquake_damage,Hospital,Police,Fire Station,Emergency_Risk,Natural_Disaster_Risk,Tourism_Risk_Index,Risk_Category
Everest Base Camp,27.9881,86.925,Solukhumbu,20,7,15,2,8,3,3,1,50,100,80.0,HIGH
Annapurna Base Camp,28.53,84.56,Kaski,15,10,8,3,7,0,4,0,80,100,92.0,HIGH
Pokhara Lakeside,28.2096,83.9856,Kaski,5,3,0,8,5,113,78,3,0,45,27.0,LOW
Chitwan National Park,27.5291,84.3542,Chitwan,8,2,0,10,4,89,28,0,0,50,30.0,MEDIUM
Lumbini,27.4698,83.276,Rupandehi,0,0,0,0,0,0,0,0,100,0,40.0,MEDIUM
Rara Lake,29.5269,82.0835,Mugu,5,8,1,5,6,0,0,0,100,59,75.4,HIGH
Upper Mustang,29.193,83.89,Mustang,0,0,0,0,0,0,0,0,100,0,40.0,MEDIUM
Langtang Valley,28.23,85.56,Rasuwa,0,0,0,0,0,0,0,0,100,0,40.0,MEDIUM
Poon Hill,28.4,83.69,Myagdi,0,0,0,0,0,0,0,0,100,0,40.0,MEDIUM
Everest Base Camp,27.9881,86.925,Solukhumbu,20,7,15,2,8,3,3,1,50,100,80.0,HIGH
Annapurna Base Camp,28.5300,84.5600,Kaski,15,10,8,3,7,0,4,0,80,100,92.0,HIGH
Pokhara Lakeside,28.2096,83.9856,Kaski,5,3,0,8,5,113,78,3,0,45,27.0,LOW
Chitwan National Park,27.5291,84.3542,Chitwan,8,2,0,10,4,89,28,0,0,50,30.0,MEDIUM
Lumbini,27.4698,83.2760,Rupandehi,0,0,0,0,0,0,0,0,100,0,40.0,MEDIUM
Rara Lake,29.5269,82.0835,Mugu,5,8,1,5,6,0,0,0,100,59,75.4,HIGH
Upper Mustang,29.1930,83.8900,Mustang,0,0,0,0,0,0,0,0,100,0,40.0,MEDIUM
Langtang Valley,28.2300,85.5600,Rasuwa,12,15,5,4,10,1,1,0,80,90,86.0,HIGH
Poon Hill,28.4000,83.6900,Myagdi,3,5,2,1,3,2,3,0,70,55,62.0,HIGH
Manaslu Circuit,28.6500,84.5600,Gorkha,10,12,10,2,9,0,1,0,90,95,88.0,HIGH
Tilicho Lake,28.6800,84.0000,Manang,8,14,12,3,7,0,0,0,100,98,95.0,HIGH
Mardi Himal,28.6200,84.0000,Kaski,5,8,6,1,4,2,2,0,75,70,68.0,HIGH
Gosaikunda Lake,28.0850,85.4100,Rasuwa,6,10,7,3,6,0,1,0,90,80,84.0,HIGH
Shey Phoksundo Lake,29.2100,82.9600,Dolpa,4,12,3,4,8,0,0,0,100,78,85.0,HIGH
Khopra Danda,28.4500,83.6500,Myagdi,3,6,5,1,3,1,2,0,80,65,72.0,HIGH
Nagarkot,27.7150,85.5200,Bhaktapur,2,2,0,3,5,15,10,2,20,30,28.0,LOW
Bhaktapur Durbar Square,27.6720,85.4298,Bhaktapur,1,0,0,1,8,20,15,5,10,25,22.0,LOW
Kathmandu Durbar Square,27.7048,85.3076,Kathmandu,2,0,0,2,9,30,25,8,5,30,25.0,LOW
Patan Durbar Square,27.6730,85.3250,Lalitpur,1,0,0,1,8,25,20,5,10,25,23.0,LOW
Swayambhunath,27.7149,85.2900,Kathmandu,1,0,0,2,6,25,20,3,10,20,22.0,LOW
Boudhanath,27.7215,85.3620,Kathmandu,1,0,0,1,5,30,25,4,5,15,18.0,LOW
Phewa Lake,28.2096,83.9856,Kaski,3,2,0,8,3,40,30,5,5,30,25.0,LOW
Sarangkot,28.2440,83.9450,Kaski,2,3,0,3,4,10,8,1,25,35,30.0,LOW
Begnas Lake,28.1550,84.1200,Kaski,2,1,0,7,3,20,15,2,10,25,22.0,LOW
Davis Falls,28.1950,83.9600,Kaski,3,1,0,5,2,30,20,4,5,20,20.0,LOW
World Peace Pagoda,28.1900,83.9500,Kaski,1,2,0,2,3,10,8,1,30,25,28.0,LOW
Chitwan Jungle Safari,27.5291,84.3542,Chitwan,7,1,0,12,3,15,10,2,25,55,42.0,MEDIUM
Bardia National Park,28.4500,81.3000,Bardiya,5,1,0,15,2,5,5,1,60,50,55.0,MEDIUM
Koshi Tappu Wildlife Reserve,26.9000,87.1500,Sunsari,4,0,0,18,2,8,6,2,40,55,48.0,MEDIUM
Janaki Temple,26.7288,85.9250,Dhanusha,0,0,0,2,2,15,10,3,20,15,20.0,LOW
Pathibhara Temple,27.4200,87.7500,Taplejung,5,10,3,2,6,0,1,0,90,75,82.0,HIGH
Halesi Mahadev,27.3200,86.7200,Khotang,3,4,0,2,5,3,4,1,60,45,55.0,MEDIUM
Muktinath Temple,28.8200,83.8700,Mustang,4,5,4,1,5,1,2,0,80,60,70.0,HIGH
Kagbeni,28.8400,83.7800,Mustang,3,4,2,5,4,1,1,0,90,55,72.0,HIGH
Tengboche Monastery,27.8400,86.7600,Solukhumbu,8,9,10,1,7,0,0,0,100,90,92.0,HIGH
Lukla Airport,27.6860,86.7300,Solukhumbu,15,3,2,1,5,1,2,1,70,65,75.0,HIGH
Kalinchowk,27.9500,86.0500,Dolakha,5,8,5,2,6,1,2,0,80,75,78.0,HIGH
Daman View Tower,27.6000,85.0800,Makwanpur,2,4,0,3,5,5,4,1,45,40,42.0,MEDIUM
Ilam Tea Garden,26.9100,87.9300,Ilam,2,5,0,4,3,8,5,1,35,40,38.0,MEDIUM
Antu Danda,26.8900,88.0000,Ilam,1,3,0,2,2,5,4,1,40,30,35.0,MEDIUM
Dhorpatan Hunting Reserve,28.4800,83.0200,Baglung,5,10,5,3,6,0,1,0,90,80,86.0,HIGH
Khaptad National Park,29.3500,81.1000,Bajhang,3,8,2,5,7,0,0,0,100,70,82.0,HIGH
Api Base Camp,29.9500,80.9000,Darchula,6,12,6,3,8,0,0,0,100,90,94.0,HIGH
