hotel_name,destination,address,latitude,longitude,phone,rating,price_per_night,currency,booking_status,booking_url,data_quality_score,price_category
Kathmandu Marriott Hotel,Kathmandu,Manakamana Marg Naxal Kathmandu Nepal,27.7172,85.324,+97715970000,4.7,180,USD,Available,https://www.marriott.com,100.0,Luxury
The Dwarika'S Hotel,Kathmandu,Battisputali Kathmandu Nepal,27.7048,85.3386,+97714479488,4.8,300,USD,Available,https://www.dwarikas.com,100.0,Luxury
Hyatt Regency Kathmandu,Kathmandu,Boudha Kathmandu Nepal,27.7215,85.3605,+97715171234,4.5,150,USD,Available,https://www.hyatt.com,100.0,Luxury
Hotel Yak And Yeti,Kathmandu,Durbar Marg Kathmandu Nepal,27.7114,85.3188,+97714248999,4.4,120,USD,Available,https://www.yakandyeti.com,100.0,Mid Range
Radisson Hotel Kathmandu,Kathmandu,Lazimpat Kathmandu Nepal,27.7186,85.3172,+97714411818,4.3,110,USD,Available,https://www.radissonhotels.com,100.0,Mid Range
Aloft Kathmandu Thamel,Kathmandu,Chhaya Devi Complex Thamel Kathmandu Nepal,27.7148,85.3121,+97715252000,4.5,130,USD,Available,https://www.marriott.com,100.0,Mid Range
Hotel Mulberry,Kathmandu,Thamel Kathmandu Nepal,27.7159,85.3138,+97714700927,4.4,95,USD,Available,https://www.hotelmulberry.com,100.0,Mid Range
Fairfield By Marriott Kathmandu,Kathmandu,Tridevi Marg Kathmandu Nepal,27.714,85.3127,+97714217999,4.3,90,USD,Available,https://www.marriott.com,100.0,Mid Range
Hotel Shambala,Kathmandu,Bansbari Kathmandu Nepal,27.7345,85.342,+97714650250,4.4,80,USD,Available,https://www.shambalahotel.com,100.0,Mid Range
Gokarna Forest Resort,Kathmandu,Gokarna Kathmandu Nepal,27.734,85.405,+97714451212,4.6,170,USD,Available,https://www.gokarna.com,100.0,Luxury
Temple Tree Resort & Spa,Pokhara,Gaurighat Lakeside Pokhara Nepal,28.2096,83.9595,+97761465819,4.6,140,USD,Available,https://www.templetreenepal.com,100.0,Mid Range
Fishtail Lodge,Pokhara,Lakeside Pokhara Nepal,28.2145,83.948,+97761465071,4.5,130,USD,Available,https://www.fishtail-lodge.com,100.0,Mid Range
Hotel Barahi,Pokhara,Lakeside Pokhara Nepal,28.2097,83.9588,+97761460617,4.4,100,USD,Available,https://www.hotelbarahi.com,100.0,Mid Range
Mount Kailash Resort,Pokhara,Lakeside Pokhara Nepal,28.211,83.9565,+97761465096,4.3,85,USD,Available,https://www.mountkailashresort.com,100.0,Mid Range
Pokhara Grande,Pokhara,Birauta Pokhara Nepal,28.1985,83.984,+97761460560,4.5,120,USD,Available,https://www.pokharagrande.com,100.0,Mid Range
Hotel Landmark Pokhara,Pokhara,Lakeside Pokhara Nepal,28.2115,83.959,+97761463720,4.2,75,USD,Available,https://www.hotellandmarkpokhara.com,100.0,Budget
