Hospital Name,Address,Phone,Place ID
Western Regional Hospital (Gandaki Hospital),"Western Regional Hospital Helipad, Pokhara 33700, Nepal","+97761570066","ChIJ0yCelC6VlTkR7A8rhJJ8qNE"
Nepal Manipal Teaching Hospital,"Fulbari, Pokhara-11, Pokhara 33700, Nepal","+97761552666","ChIJcSx9pT-UlTkRKKEQ1hEYAiY"
Gandaki Medical College,"Nayabazar Rd, Pokhara 33700, Nepal","+97761538595","ChIJJXlqV7KVlTkRusGbSOOxgOQ"
Regional Hospital Pvt. Ltd.,"Zero Kilometer, Pokhara 33700, Nepal","+97761544085","ChIJzWxRSVWUlTkR9bN9jdmeNdE"
Matrishishu Miteri Provincial Hospital,"Pokhara 33700, Nepal","+97761443144","ChIJbQHn-niUlTkRmGBYzwIfdzw"
Provincial Infectious and Communicable Disease Hospital,"Lekhnath 33700, Nepal","+97761561366","ChIJVTbigmG9lTkRbHCCOf3g50A"
Green Pastures Hospital,"Pokhara 33700, Nepal","+97761433342","ChIJqTtgvL2VlTkRkMh5acinhnE"
Fishtail Hospital,"Gairapatan Road, Pokhara 33700, Nepal","+97761577553","ChIJT_j5qkiUlTkRtdOxMCI-UYA"
Sahara Hospital Pvt. Ltd.,"Bindhyabasini Buspark, Pokhara 33700, Nepal","+97761589858","ChIJa1wTY1uUlTkRu9h55Ms_mWI"
Pokhara Hospital & Research Centre Pvt. Ltd.,"Amarsingh Chowk, Pokhara 33700, Nepal","+97761590868","ChIJpaDy7baVlTkRlAWdB3Tc4gY"
Lekhnath City Hospital,"Lekhnath 33700, Nepal","+97761411167","ChIJd5ywyheWlTkRaf7NzwBbnlM"
Padmashree Hospital And Allied Sciences Pvt. Ltd.,"New Road, Pokhara 33700, Nepal","+97761590162","ChIJpeRV63yVlTkRwftXj0lGmdk"
A&B International Hospital,"Sarangkot Rd, Pokhara 33700, Nepal","+9779804163734","ChIJuXw-j2eUlTkRh6UU5dQPJWw"
