Hotel Name,Destination,Address,Latitude,Longitude,Phone,Rating,Price Per Night,Currency,Booking Status,Booking URL
Kathmandu Marriott Hotel,Kathmandu,Manakamana Marg Naxal Kathmandu Nepal,27.7172,85.3240,+977-1-5970000,4.7,180,USD,Available,https://www.marriott.com
The Dwarika's Hotel,Kathmandu,Battisputali Kathmandu Nepal,27.7048,85.3386,+977-1-4479488,4.8,300,USD,Available,https://www.dwarikas.com
Hyatt Regency Kathmandu,Kathmandu,Boudha Kathmandu Nepal,27.7215,85.3605,+977-1-5171234,4.5,150,USD,Available,https://www.hyatt.com
Hotel Yak and Yeti,Kathmandu,Durbar Marg Kathmandu Nepal,27.7114,85.3188,+977-1-4248999,4.4,120,USD,Available,https://www.yakandyeti.com
Radisson Hotel Kathmandu,Kathmandu,Lazimpat Kathmandu Nepal,27.7186,85.3172,+977-1-4411818,4.3,110,USD,Available,https://www.radissonhotels.com
Aloft Kathmandu Thamel,Kathmandu,Chhaya Devi Complex Thamel Kathmandu Nepal,27.7148,85.3121,+977-1-5252000,4.5,130,USD,Available,https://www.marriott.com
Hotel Mulberry,Kathmandu,Thamel Kathmandu Nepal,27.7159,85.3138,+977-1-4700927,4.4,95,USD,Available,https://www.hotelmulberry.com
Fairfield by Marriott Kathmandu,Kathmandu,Tridevi Marg Kathmandu Nepal,27.7140,85.3127,+977-1-4217999,4.3,90,USD,Available,https://www.marriott.com
Hotel Shambala,Kathmandu,Bansbari Kathmandu Nepal,27.7345,85.3420,+977-1-4650250,4.4,80,USD,Available,https://www.shambalahotel.com
Gokarna Forest Resort,Kathmandu,Gokarna Kathmandu Nepal,27.7340,85.4050,+977-1-4451212,4.6,170,USD,Available,https://www.gokarna.com
Temple Tree Resort & Spa,Pokhara,Gaurighat Lakeside Pokhara Nepal,28.2096,83.9595,+977-61-465819,4.6,140,USD,Available,https://www.templetreenepal.com
Fishtail Lodge,Pokhara,Lakeside Pokhara Nepal,28.2145,83.9480,+977-61-465071,4.5,130,USD,Available,https://www.fishtail-lodge.com
Hotel Barahi,Pokhara,Lakeside Pokhara Nepal,28.2097,83.9588,+977-61-460617,4.4,100,USD,Available,https://www.hotelbarahi.com
Mount Kailash Resort,Pokhara,Lakeside Pokhara Nepal,28.2110,83.9565,+977-61-465096,4.3,85,USD,Available,https://www.mountkailashresort.com
Pokhara Grande,Pokhara,Birauta Pokhara Nepal,28.1985,83.9840,+977-61-460560,4.5,120,USD,Available,https://www.pokharagrande.com
Hotel Landmark Pokhara,Pokhara,Lakeside Pokhara Nepal,28.2115,83.9590,+977-61-463720,4.2,75,USD,Available,https://www.hotellandmarkpokhara.com
Waterfront Resort,Pokhara,Lakeside Pokhara Nepal,28.2120,83.9450,+977-61-465162,4.4,95,USD,Available,https://www.waterfrontpokhara.com
The Pavilions Himalayas,Pokhara,Pumdi Bhumdi Pokhara Nepal,28.1450,83.9300,+977-61-621000,4.8,220,USD,Available,https://www.pavilionshimalayas.com
Hotel Sarowar,Pokhara,Lakeside Pokhara Nepal,28.2102,83.9581,+977-61-590123,4.3,85,USD,Available,https://www.hotelsarowar.com
Bar Peepal Resort,Pokhara,Lakeside Pokhara Nepal,28.2118,83.9557,+977-61-467800,4.6,110,USD,Available,https://www.barpeepalresort.com
Soaltee Kathmandu,Kathmandu,Tahachal Kathmandu Nepal,27.7000,85.2920,+977-1-4273999,4.5,140,USD,Available,https://www.soaltee.com
Aakash By The Lake,Pokhara,Lakeside Pokhara Nepal,28.2105,83.9560,+977-61-462999,4.1,60,USD,Available,https://www.aakashbythelake.com
Hotel Pokhara Choice Inn,Pokhara,Lakeside Pokhara Nepal,28.2108,83.9592,+977-61-465900,4.2,65,USD,Available,https://www.pokharachoiceinn.com
Hotel Middle Path,Pokhara,Lakeside Pokhara Nepal,28.2100,83.9580,+977-61-465522,4.4,70,USD,Available,https://www.hotelmiddlepath.com
Hotel Crystal Palace,Pokhara,Lakeside Pokhara Nepal,28.2122,83.9570,+977-61-465456,4.1,55,USD,Available,https://www.crystalpalacepokhara.com
Tigerland Safari Resort,Chitwan,Sauraha Chitwan Nepal,27.5820,84.4950,+977-56-580123,4.5,120,USD,Available,https://www.tigerland.com.np
Barahi Jungle Lodge,Chitwan,Andrauli Chitwan Nepal,27.6100,84.4500,+977-56-580500,4.7,180,USD,Available,https://www.barahijunglelodge.com
