Kathmandu,Humba Valley,Mugu,Karnali,700-900,20-30,3500-4500,40-80,200-500,100-300,250-600
Pokhara,Nar Phu Valley,Manang,Gandaki,250-350,12-18,3500-4300,30-60,150-400,80-250,200-500
Nepalgunj,Dolpo Shey Phoksundo,Dolpa,Karnali,500-700,15-25,3500-5200,40-90,200-600,100-350,250-650
Dhangadhi,Byas Valley,Darchula,Sudurpashchim,400-550,15-25,3000-4500,30-70,150-400,80-250,200-500
Kathmandu,Tsum Valley,Gorkha,Gandaki,200-300,10-15,2000-3500,25-50,120-300,50-200,150-400
Pokhara,Chharka Bhot,Mustang,Gandaki,300-400,12-20,4000-4500,40-80,200-500,100-300,250-600
Biratnagar,Olangchung Gola,Taplejung,Koshi,350-500,15-25,3200-4200,40-80,200-500,100-300,250-600
Kathmandu,Rolwaling Valley,Dolakha,Bagmati,180-250,8-14,3000-5000,30-60,150-400,80-250,200-500
Pokhara,Kori Danda,Kaski,Gandaki,60-100,6-10,3800-4200,15-30,100-250,50-150,100-250
Nepalgunj,Phoksundo Village,Dolpa,Karnali,600-800,18-30,3000-3700,40-90,200-600,100-350,250-650
Dharan,Yangma Village,Sankhuwasabha,Koshi,300-450,12-20,3500-4200,30-70,150-400,80-250,200-500
Kathmandu,Kyenjin Gompa,Rasuwa,Bagmati,150-200,7-10,3800-4000,20-40,100-300,50-200,150-400
Pokhara,Mu La Pass,Manang,Gandaki,250-350,15-20,5000-5500,50-100,250-600,100-350,300-700
Dhangadhi,Saipal Base Camp,Bajhang,Sudurpashchim,350-500,15-25,3500-4500,40-90,200-500,100-300,250-600
Kathmandu,Chhukung,Sankhuwasabha,Koshi,450-600,20-30,4000-4700,50-100,250-600,100-350,300-700
Pokhara,Khopra Danda,Myagdi,Gandaki,100-150,7-12,3600-3700,20-40,100-250,50-150,100-250
Biratnagar,Mai Pokhari,Ilam,Koshi,170-230,6-8,2000-2200,5-15,50-150,30-100,70-180
Kathmandu,Limi Valley,Humla,Karnali,800-1000,25-35,3500-4500,50-100,250-600,100-400,350-800
Nepalgunj,Simkot,Humla,Karnali,600-800,18-25,2900-3200,40-80,200-500,100-300,250-600
Pokhara,Chame Village,Manang,Gandaki,180-230,8-12,2600-3000,20-40,100-300,50-200,150-400
Kathmandu,Langtang Village,Rasuwa,Bagmati,130-170,7-10,3300-3500,20-40,100-250,50-150,100-250
Dharan,Hongu Valley,Solukhumbu,Koshi,350-500,15-25,4000-5000,40-90,200-500,100-300,250-600
Pokhara,Phu Village,Manang,Gandaki,250-350,12-18,4000-4200,30-60,150-400,80-250,200-500
Kathmandu,Chekampar,Gorkha,Gandaki,220-300,10-18,2500-3200,25-50,120-300,50-200,150-400
Nepalgunj,Jumla Sinja Valley,Jumla,Karnali,500-700,15-25,2300-3000,30-70,150-400,80-250,200-500
Dhangadhi,Ramaroshan,Achham,Sudurpashchim,200-300,8-12,2500-3500,20-40,100-250,50-150,100-250
Kathmandu,Narayanthan Village,Dolakha,Bagmati,150-200,6-8,2500-3500,15-30,100-250,50-150,100-250
Pokhara,Molung Valley,Solukhumbu,Koshi,400-550,18-25,3000-4000,40-80,200-500,100-300,250-600
Biratnagar,Gupha Pokhari,Sankhuwasabha,Koshi,250-350,10-15,2900-3500,20-40,100-250,50-150,100-250
Kathmandu,Balefi Rural Area,Sindhupalchok,Bagmati,80-120,4-6,1200-2000,5-15,50-150,20-80,55-170
