deactivated_id,name,correction_reason
6261,Himalaya Tourist Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""Himalaya Tourist Guest House"" (id 2871) ~3 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6257,Laughing Buddha Guesthouse & Villa,"Consolidation round 2026-09-21: duplicates Hotel record ""Laughing Buddha Guesthouse & Villa"" (id 3721) ~3 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6245,Shepherds Camp,"Consolidation round 2026-09-21: duplicate of destination ""Shepherds Camp"" (id 1966) ~19 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6236,Homestay Inn,"Consolidation round 2026-09-21: duplicates Hotel record ""Homestay Inn"" (id 1682) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6227,Temple Himalaya Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Temple Himalaya Hotel"" (id 3007) ~27 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6221,Hotel Doko,"Consolidation round 2026-09-21: duplicate of destination ""Hotel Doko"" (id 5984) ~22 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6204,Namaste Buddha Lodge,"Consolidation round 2026-09-21: duplicates Hotel record ""Namaste Buddha Lodge"" (id 2817) ~2 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6203,Hotel Green View and Lodge,"Consolidation round 2026-09-21: duplicate of destination ""Hotel Green View and Lodge"" (id 5390) ~26 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6202,Hotel Sacred Hill,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Sacred Hill"" (id 3114) ~12 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6201,Hotel Sacred Hill,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Sacred Hill"" (id 3114) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6199,Lake Wave Cottage & Restaurent,"Consolidation round 2026-09-21: duplicates Hotel record ""Lake Wave Cottage & Restaurent"" (id 3113) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6192,Hotel Saptarangi,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Saptarangi"" (id 3840) ~1 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6188,Alan Jack Private Homestay,"Consolidation round 2026-09-21: duplicates Hotel record ""Alan Jack Private Homestay"" (id 3975) ~2 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6186,Hermitage Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Hermitage Hotel"" (id 1834) ~5 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6180,Hotel Potala,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Potala"" (id 4249) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6172,Silver pheasant,"Consolidation round 2026-09-21: duplicate of destination ""Silver pheasant"" (id 6171) ~6 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6139,Zambala Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Zambala Hotel"" (id 1859) ~29 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
